弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
499.43200,1,25,16777215,Wed Mar  1 14:46:02 2023,0,53dcb4b,1263005281370119168	,8,李宏伟一出场就诠释啥叫演技，就是不用演。,李宏伟 一出场 诠释 演技 ， 不用 演 。
711.66200,1,25,16777215,Wed Mar  1 14:22:37 2023,0,526c3cc3,1262993494889375744	,8,是江门好吗！！！！,江门 好 ！ ！ ！ ！
826.16000,1,25,16777215,Wed Mar  1 13:59:25 2023,0,522fcea8,1262981820178597888	,8,老钱=old money,老钱 = old money
30.51900,1,25,16777215,Wed Mar  1 13:57:38 2023,0,3d49bd08,1262980926271453952	,8,好截图,好 截图
321.90400,1,25,16777215,Wed Mar  1 11:47:12 2023,0,80dca7b2,1262915276186533120	,8,如果原始积累的方式相同，这就是和平演变,原始积累 方式 ， 和平演变
200.56000,1,25,16777215,Wed Mar  1 11:43:44 2023,0,80dca7b2,1262913530492298240	,8,那是因为高启强不够大,是因为 高启 强 大
137.11500,1,25,16777215,Wed Mar  1 11:41:44 2023,0,80dca7b2,1262912523238380288	,8,东莞经济带,东莞 经济带
656.78700,1,25,16777215,Wed Mar  1 10:54:15 2023,0,e4771e12,1262888621410055168	,8,救命，那年代那有机会考,救命 ， 年代 那有 机会 考
126.77900,1,25,16777215,Wed Mar  1 10:41:48 2023,0,11494240,1262882358198274816	,8,斯坦福,斯坦福
609.77900,1,25,16777215,Wed Mar  1 10:40:29 2023,0,1b62bf50,1262881689693390848	,8,哈哈哈哈哈哈,哈哈哈 哈哈哈
1037.80600,1,25,16777215,Wed Mar  1 10:11:39 2023,0,8368c363,1262867178517078272	,8,你说的其实已经有了，就是先锋队,说 ， 先锋队
613.67300,1,25,16777215,Wed Mar  1 08:51:56 2023,0,e7263ec9,1262827056778437632	,8,前面的那个也就只能笑笑而已，又憋不出什么屁来,只能 笑笑 ， 憋 不出 屁来
1044.97200,1,25,16777215,Wed Mar  1 04:00:20 2023,0,c187aff4,1262680294331703296	,8,做梦？,做梦 ？
24.85100,1,25,16777215,Wed Mar  1 03:25:12 2023,0,6ab951a4,1262662605776911872	,8,亿万也不错，但更直白一些,亿万 不错 ， 更 直白
6.53900,1,25,16777215,Wed Mar  1 02:25:13 2023,0,fd6ca68f,1262632421334360064	,8,对我来说略逊于三体,来说 略逊 于三体
782.40300,1,25,16777215,Tue Feb 28 23:37:58 2023,0,9fff48a0,1262548242089168128	,8,终于明白了为什么剧名叫狂飙了,终于 明白 剧 名叫 狂飙
1078.03600,1,25,16777215,Tue Feb 28 22:56:43 2023,0,9b8563a6,1262527474253069824	,8,我回头？,回头 ？
604.01900,1,25,16777215,Tue Feb 28 22:39:27 2023,0,c409fff,1262518784711878656	,8,现实就是更加无底,现实 无 底
108.24800,1,25,16777215,Tue Feb 28 22:09:23 2023,0,b173ef33,1262503652912793856	,8,怪不得要对比,怪不得 对比
209.85200,1,25,16777215,Tue Feb 28 20:42:31 2023,0,bfed41c2,1262459928434899712	,8,都希望回到混乱的时代，一辈子打拼才有回报,都 希望 回到 混乱 时代 ， 一辈子 打拼 才 回报
832.22200,1,25,16777215,Tue Feb 28 20:16:09 2023,0,33e99e5b,1262446660961757440	,8,前面的 老钱…old money,老钱 … old money
318.72200,1,25,16777215,Tue Feb 28 19:44:18 2023,0,e3f1bed,1262430631170964992	,8,纯简拉基茨德,纯简 拉基 茨 德
39.21400,1,25,16777215,Tue Feb 28 18:53:27 2023,0,da2d5f2b,1262405038316642304	,8,三体我推荐了亲戚朋友包括我，全都看不下去,三体 推荐 亲戚朋友 包括 ， 全都 看不下去
41.41900,1,25,15138834,Tue Feb 28 18:03:57 2023,0,85d01ba0,1262380124477831424	,8,解决？,解决 ？
13.05200,1,25,16777215,Tue Feb 28 18:01:54 2023,0,90d7e345,1262379090833620224	,8,看了狂飙觉的都是理所当然,看 狂飙 觉 都 理所当然
628.39200,1,25,16777215,Tue Feb 28 17:19:56 2023,0,eb014940,1262357970508272896	,8,去上两天班就知道了,去 上 两天 班
684.06300,1,25,16777215,Tue Feb 28 17:04:56 2023,0,d6a45c48,1262350421700365824	,8,他真的很聪明,真的 很 聪明
933.51100,1,25,16777215,Tue Feb 28 16:34:51 2023,0,a7547823,1262335279323518464	,8,总有希望的,总有 希望
201.07500,1,25,16777215,Tue Feb 28 16:07:16 2023,0,8a4bff6d,1262321390497936640	,8,说高启强差不多也成为全民偶像的，大可不必。,说 高启 强 差不多 全民 偶像 ， 大可不必 。
